RankNet,NDCG,0.9131,0.8431,0.8799,0.8794,0.9076
RankNet,ERR,0.4158,0.4124,0.4061,0.3316,0.3271
RankBoost,NDCG,0.9102,0.9216,0.9036,0.9112,0.8979
RankBoost,ERR,0.433,0.4426,0.4278,0.4341,0.425
AdaRank,NDCG,0.8148,0.8714,0.8253,0.8682,0.9055
AdaRank,ERR,0.3619,0.4106,0.3698,0.4033,0.4081
ListNet,NDCG,0.9332,0.8996,0.8983,0.9245,0.9275
ListNet,ERR,0.4512,0.4259,0.4229,0.4494,0.4455
LambdaMART,NDCG,0.9306,0.9168,0.911,0.951,0.9393
LambdaMART,ERR,0.45,0.4378,0.4237,0.4623,0.456
Regression,NDCG,0.9443,0.9231,0.9287,0.9425,0.9367
Regression,ERR,0.4592,0.4423,0.447,0.4571,0.453
RandomRanker,NDCG,0.8307,0.8335,0.8262,0.8325,0.8367
RandomRanker,ERR,0.386,0.3754,0.379,0.3763,0.3742
