algorithms,evaluation_method,evaluation,cimin,cimax,random
LinearRegrassion,NDCG,0.935,0.9238,0.9462,0.83346
LambdaMART,NDCG,0.9297,0.9095,0.9499,0.83118
ListNet,NDCG,0.9166,0.8962,0.937,0.83058
RankBoost,NDCG,0.9089,0.8978,0.9199,0.83172
RankNet,NDCG,0.8846,0.8499,0.9192,0.83406
AdaRank,NDCG,0.857,0.8111,0.9029,0.83254
RandomRanker,NDCG,0.8319,0.8271,0.8367,0.8319
LinearRegrassion,ERR,0.4517,0.4429,0.4604,0.37578
LambdaMART,ERR,0.4459,0.4268,0.465,0.37508
ListNet,ERR,0.4389,0.4222,0.4557,0.37344
RankBoost,ERR,0.4325,0.424,0.4409,0.37456
RankNet,ERR,0.3786,0.3225,0.4346,0.37854
AdaRank,ERR,0.3907,0.3621,0.4193,0.37368
RandomRanker,ERR,0.3781,0.3723,0.384,0.37818
