OfferPersonId,OfferId,Question,Textmatching,Duration,Cooperation,Price,Rank,User
8617BA86-F39F-46EB-B224-2C2D2F9DB4A8,EB2C76A0-0ED7-44D5-9003-4231863ABFE4,1,30,07 13:34,1,"30,22",1,NR
F4D927E5-6634-427E-91A9-37A67009B1D7,EB2C76A0-0ED7-44D5-9003-4231863ABFE4,1,60,11 03:01,0,"44,71",3,NR
D1AF1583-8AB9-4C56-B45B-25B5539BC441,EB2C76A0-0ED7-44D5-9003-4231863ABFE4,1,90,17 01:55,1,"24,96",2,NR
3EAB5FD1-7F1B-4A91-93EC-30C6E567BAB0,E373B922-C77F-4924-A489-423628A6138D,2,10,14 21:00,1,"8,69",3,NR
13CF9E8C-ECB2-4DC4-A212-29A5C26545F9,E373B922-C77F-4924-A489-423628A6138D,2,50,16 12:26,1,"9,42",2,NR
7582DC34-6C11-40FD-8DB0-06C6D64A9AD5,E373B922-C77F-4924-A489-423628A6138D,2,30,07 04:04,0,"9,54",1,NR
9B1D0AD0-7CF7-4C08-9DAB-89312441DE6F,D449721E-674F-435C-B883-42D2906A1F68,3,0,30 00:12,0,"694,07",3,NR
DB77B4E7-E7BF-459D-B7CB-71C9CD7AA21D,D449721E-674F-435C-B883-42D2906A1F68,3,20,32 11:32,0,"477,21",1,NR
6231E6B0-53BA-4F65-A535-CC70A11D721F,D449721E-674F-435C-B883-42D2906A1F68,3,10,29 06:23,0,"699,37",2,NR
5B3BA53D-92D5-4206-8DF2-EFB9446A5593,9A96FE7D-4A3F-41AF-92A2-42DABF7B3AA6,4,80,11 15:46,0,"15,44",2,NR
DCF05EFE-B269-4D40-B03F-5E8B661EBD7A,9A96FE7D-4A3F-41AF-92A2-42DABF7B3AA6,4,70,13 03:59,0,"8,49",3,NR
806DB596-D3C9-4BB1-9FBC-EB41B9F27C18,9A96FE7D-4A3F-41AF-92A2-42DABF7B3AA6,4,20,06 18:17,0,"14,07",1,NR
01E6BD33-FE0F-44BF-AD4B-BFBCCF7F418D,771D9030-0F10-4CBC-803C-42DDF6ADAC3C,5,70,16 02:41,1,"8,75",2,NR
875B7F28-2B9D-4654-8E47-A82C3632A182,771D9030-0F10-4CBC-803C-42DDF6ADAC3C,5,10,12 01:25,1,"8,32",3,NR
50EE6560-7A24-4A37-8F83-1A03A0897F7B,771D9030-0F10-4CBC-803C-42DDF6ADAC3C,5,40,11 22:01,1,"9,59",1,NR
BBBDC3D2-1A62-454F-B433-5FC0A75A1402,B40BB39E-06F1-49AC-9289-43164AF5A51A,6,0,45 00:15,0,"651,37",2,NR
16699CCC-BD90-47B2-988B-8C12D03E1201,B40BB39E-06F1-49AC-9289-43164AF5A51A,6,40,40 19:47,0,"570,77",1,NR
6103A5B3-A56A-45D1-955C-1E6D898BADB4,B40BB39E-06F1-49AC-9289-43164AF5A51A,6,40,45 13:39,1,"812,58",3,NR
4F35E843-AB6A-4AF8-BE0E-E53C812DD649,72046C79-C9C9-4066-AFCB-433FACBA125D,7,90,29 15:44,1,"308,91",3,NR
0B26C113-CB27-4E01-88B5-51EC9C6E55D1,72046C79-C9C9-4066-AFCB-433FACBA125D,7,70,15 12:24,1,"336,39",1,NR
550EB160-1AD9-47E8-B732-863637B79467,72046C79-C9C9-4066-AFCB-433FACBA125D,7,10,25 01:04,0,"226,42",2,NR
D81AE962-CEBE-4F76-BE67-B074D7676242,A3B2606A-D033-4147-989D-43E4EA1648EC,8,10,16 23:05,0,"7,23",3,NR
